ID	GID	JURISID	JURISID19	COUNTY	NAME	YEAR	ADDRESS	CITY	STATE	ZIP	STATEFIPS	CNTYFIPS	STRATUM	CLASS	DESIGNWT	FINALWT	ISREGIONAL	ISPRIVATE	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEK_FLAG	WEEKN	WEEKN_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	AGE18_24	AGE18_24_FLAG	AGE25_34	AGE25_34_FLAG	AGE35_44	AGE35_44_FLAG	AGE45_54	AGE45_54_FLAG	AGE55_64	AGE55_64_FLAG	AGE65	AGE65_FLAG	TOTALAGE	TOTALAGE_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	PROBATION	PROBATION_FLAG	PAROLE	PAROLE_FLAG	PRETRIALRELEASE	PRETRIALRELEASE_FLAG	OTHERRELEASE	OTHERRELEASE_FLAG	PROBPAROLETOT	PROBPAROLETOT_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	CONV	CONV_FLAG	UNCONV	UNCONV_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	CITZ	CITZ_FLAG	NONCITZ	NONCITZ_FLAG	CITZDK	CITZDK_FLAG	TOTCITZ	TOTCITZ_FLAG	NONCITZCONV	NONCITZCONV_FLAG	NONCITZUNCONV	NONCITZUNCONV_FLAG	NONCITZCONVDK	NONCITZCONVDK_FLAG	TOTNONCITZCONV	TOTNONCITZCONV_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	OTHERFEDSPEC	OTHERFED	OTHERFED_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	OTHERHOLDTOT	OTHERHOLDTOT_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPM	ADPM_FLAG	ADPF	ADPF_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISM	ADMISM_FLAG	ADMISF	ADMISF_FLAG	ADMIS	ADMIS_FLAG	RELEASEM	RELEASEM_FLAG	RELEASEF	RELEASEF_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	CORRSTAFFM	CORRSTAFFM_FLAG	CORRSTAFFF	CORRSTAFFF_FLAG	CORRSTAFF	CORRSTAFF_FLAG	OTHERSTAFFM	OTHERSTAFFM_FLAG	OTHERSTAFFF	OTHERSTAFFF_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	TOTSTAFF	TOTSTAFF_FLAG
10956003	011002002061000000000	011002002	011002002	Baldwin County	Baldwin County Sheriffs Office	2023	200 Hand Avenue	Bay Minette	1	36507	01	01003	6	7	1.3055	1.391521334648	0	0	479	0	0	0	479	0	0	0	-1	-1	396	0	83	0	0	0	0	0	479	0	0	0	40	0	75	0	187	0	109	0	59	0	9	0	479	0	304	0	155	0	20	0	0	0	0	0	0	0	0	0	 	0	0	0	0	479	0	75	0	15	0	389	0	0	0	479	0	315	0	164	0	 	0	0	479	0	150	0	329	0	479	0	476	0	3	0	0	0	479	0	0	0	3	0	0	0	3	0	86	0	4	0	3	0	0	0	 	0	0	62	0	0	0	0	0	62	0	0	0	217	0	16	516	0	415	0	85	0	500	0	654	0	4906	0	1717	0	6623	0	4703	0	1687	0	6390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	47	0	74	0	121	0	3	0	0	0	3	0	124	0
10956011	011010010061000000000	011010010	011010010	Cherokee County	Cherokee County Sheriffs Office	2023	110 Cedar Bluff Road	Centre	1	35960	01	01019	7	8	4.52	4.913043498993	0	0	134	0	0	0	134	0	0	0	-1	-1	113	0	20	0	1	0	0	0	134	0	1	0	5	0	43	0	44	0	29	0	10	0	2	0	133	0	99	0	23	0	12	0	0	0	0	0	0	0	0	0	 	0	0	0	0	134	0	12	0	0	0	20	0	6	0	38	0	126	0	8	0	 	0	0	134	0	10	0	124	0	134	0	130	0	4	0	0	0	134	0	2	0	2	0	0	0	4	0	32	0	0	0	0	0	0	0	 	0	0	13	0	0	0	0	0	0	0	2	0	47	0	30	134	0	107	0	18	0	125	0	140	0	1328	0	506	0	1834	0	1600	1	408	1	2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	12	0	9	0	21	0	0	0	0	0	0	0	21	0
10956012	011011011061000000000	011011011	011011011	Chilton County	Chilton County Sheriffs Department	2023	500 Second Avenue North	Clanton	1	35045	01	01021	6	7	1.3055	1.391521334648	0	0	232	1	0	0	232	1	0	0	-1	-1	169	1	61	1	2	1	0	0	232	1	2	1	21	1	80	1	65	1	40	1	22	1	2	1	230	0	165	1	57	1	10	1	0	0	0	0	0	0	0	0	 	0	0	0	0	232	1	22	1	4	1	8	1	0	0	34	0	141	1	88	1	housing 2 inmates for Dallas & 1 for Elmore county	3	1	232	1	58	1	174	1	232	1	226	1	6	1	0	0	232	1	0	0	6	1	0	0	6	1	0	0	0	0	0	0	0	0	 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	246	1	167	1	53	1	220	1	232	1	2203	1	928	1	3131	1	2198	1	918	1	3116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	6	1	5	1	11	1	1	1	3	1	4	0	15	0
10956014	011013013061000000000	011013013	011013013	Clarke County	Clarke County Sheriffs Department	2023	149 Clark Street	Grove Hill	1	36451	01	01025	8	9	9.046875	10.362784385681	0	0	115	0	0	0	115	0	0	0	-1	-1	109	0	6	0	0	0	0	0	115	0	0	0	1	0	38	0	36	0	24	0	14	0	2	0	115	0	38	0	74	0	0	0	0	0	2	0	0	0	1	0	 	0	0	0	0	115	0	25	0	0	0	1	0	0	0	26	0	86	0	27	0	unknown violation	2	0	115	0	15	0	100	0	115	0	115	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	28	0	26	161	3	109	1	6	1	115	1	120	0	1202	0	297	0	1499	0	1189	0	289	0	1478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	8	0	8	0	16	0	0	0	0	0	0	0	16	0
10956023	011022022061000000000	011022022	011022022	Cullman County	Cullman County Sheriffs Office	2023	1900 Beech Avenue SE	Cullman	1	35055	01	01043	6	7	1.3055	1.391521334648	0	0	428	0	0	0	428	0	1	0	5	0	333	0	95	0	0	0	0	0	428	0	0	0	40	0	137	0	130	0	84	0	34	0	3	0	428	0	372	0	41	0	13	0	1	0	0	0	1	0	0	0	 	0	0	0	0	428	0	20	1	5	1	0	1	0	1	25	0	410	1	18	1	 	0	1	428	0	28	1	400	1	428	0	420	1	8	1	0	1	428	0	0	1	8	1	0	1	8	1	34	0	0	0	0	0	0	0	 	0	0	62	0	0	0	0	0	0	0	0	0	96	0	20	445	0	375	1	40	1	415	0	553	0	3256	0	1489	0	4745	0	3243	0	1464	0	4707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	25	0	2	0	27	0	9	0	6	0	15	0	42	0
10956028	011027027061000000000	011027027	011027027	Escambia County	Escambia County Sheriffs Office	2023	316 Court Street	Brewton	1	36426	01	01053	6	7	1.3055	1.391521334648	0	0	264	0	21	0	285	0	0	0	-1	-1	214	0	50	0	0	0	0	0	264	0	0	0	24	1	84	1	94	1	40	1	20	1	2	1	264	0	121	1	131	1	8	1	3	1	0	0	0	0	1	0	 	0	0	0	0	264	0	13	1	13	1	3	1	0	0	29	0	135	1	75	1	Federal Custody	54	0	264	0	169	1	95	1	264	0	260	0	4	0	0	0	264	0	0	0	4	0	0	0	4	0	54	0	0	0	0	0	0	0	 	0	0	4	0	0	0	0	0	10	0	0	0	68	0	30	264	0	270	0	52	0	322	0	132	0	1746	0	575	0	2321	0	1754	0	569	0	2323	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	 	0	0	21	0	16	0	5	0	21	0	0	0	3	0	3	0	24	0
10956029	011028028061000000000	011028028	011028028	Etowah County	Etowah County Sheriffs Office	2023	827 Forrest Avenue	Gadsden	1	35901	01	01055	1	2	1	1.045045018196	0	0	510	0	0	0	510	0	0	0	-1	-1	420	3	90	3	0	3	0	3	510	0	0	3	76	3	173	3	142	3	96	3	20	3	3	3	510	3	271	3	184	3	37	3	0	3	7	3	0	3	9	3	 	0	3	2	3	510	0	0	3	0	3	0	3	0	3	0	3	237	3	140	3	 	133	3	510	0	219	3	291	3	510	0	432	3	78	3	0	3	510	0	78	3	0	3	0	3	78	3	0	3	0	3	196	3	0	3	 	0	3	148	3	6	3	0	3	0	3	0	3	350	3	29	946	3	366.5	3	134	3	500.5	3	889	3	9324	3	1776	3	11100	3	9496	3	1809	3	11305	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	63	3	28	3	91	3	0	3	0	3	0	3	91	3
10956036	011035035061000000000	011035035	011035035	Dale County, Henry Count	Houston County Sheriffs Office	2023	144 North Oates Street	Dothan	1	36303	01	01069	6	7	1.3055	1.391521334648	0	0	441	1	0	1	441	1	1	0	2	0	369	1	71	1	1	1	0	1	441	1	1	1	65	1	140	1	137	1	66	1	25	1	7	1	440	0	215	1	212	1	14	1	0	1	0	1	0	1	0	1	 	0	1	0	1	441	1	100	1	20	1	319	1	2	1	441	0	363	1	41	1	youthful offenders	37	1	441	1	42	1	399	1	441	1	427	1	14	1	0	1	441	1	0	1	0	1	14	1	14	1	0	1	0	1	0	1	0	1	 	0	1	5	1	2	1	0	1	0	1	0	1	7	0	2	466	0	330	1	74	1	404	1	398	1	3349	1	1228	1	4577	1	3269	1	1201	1	4470	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	1	30	1	23	1	53	1	11	1	9	1	20	1	73	1
10956037	011036036061000000000	011036036	011036036	Jackson County	Jackson County Jail	2023	545 Parks Avenue	Scottsboro	1	35768	01	01071	3	4	4.0588	4.599973201752	0	0	175	0	0	3	175	0	-9	-9	-9	-9	149	3	25	3	1	3	0	3	175	0	1	3	46	3	55	3	26	3	26	3	15	3	6	3	174	3	149	3	22	3	1	3	0	3	1	3	0	3	1	3	 	0	3	1	3	175	0	137	3	2	3	0	3	0	3	139	3	130	3	45	3	 	0	3	175	0	36	3	139	3	175	0	174	3	1	3	0	3	175	0	0	3	1	3	0	3	1	3	0	3	0	3	2	3	0	3	 	0	3	50	3	2	3	0	3	40	3	0	3	94	3	30	175	0	174	3	53	3	227	3	226	3	1414	3	579	3	1993	3	1490	3	599	3	2089	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	 	0	3	0	3	33	3	7	3	40	3	2	3	4	3	6	3	46	3
10959068	011037037060000000100	011037037	011037037	Jefferson County	Jefferson County Sheriffs Office - Birmingham Jail	2023	2200 Reverend Abraham Woods Jr. Blvd	Birmingham	1	35203	01	01073	1	1	1	1.044444441795	0	0	872	0	0	0	872	0	1	0	0	0	774	0	88	0	10	1	0	0	872	0	10	0	150	1	200	1	200	1	200	1	89	1	23	1	862	0	231	1	641	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	872	0	159	1	10	1	700	1	3	1	872	0	769	1	100	1	contempt of court, cild support etc	3	1	872	0	72	1	800	1	872	0	800	1	72	1	0	1	872	0	12	1	60	1	0	1	72	1	0	0	0	0	0	0	0	0	 	0	0	72	0	0	0	0	0	5	1	0	0	77	1	23	906	0	825	1	75	1	900	1	1060	1	7478	1	1950	1	9428	1	7389	1	1957	1	9346	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	74	1	20	1	94	1	10	1	7	1	17	1	111	0
