"NAME","TOTPOP","RATED","STATE"
"Baldwin County Sheriffs Office",479,654,1
"Cherokee County Sheriffs Office",134,140,1
"Chilton County Sheriffs Department",232,232,1
"Clarke County Sheriffs Department",115,120,1
"Cullman County Sheriffs Office",428,553,1
"Escambia County Sheriffs Office",285,132,1
"Etowah County Sheriffs Office",510,889,1
"Houston County Sheriffs Office",441,398,1
"Jackson County Jail",175,226,1
"Jefferson County Sheriffs Office - Birmingham Jail",872,1060,1
"Lawrence County Sheriffs Office",130,130,1
"Limestone County Sheriffs Office",285,316,1
"Marshall County Sheriffs Office",328,193,1
"Mobile County Sheriffs Office Metro Jail",1640,1189,1
"Montgomery County Sheriffs Office",737,1290,1
"Pike County Sheriffs Office",75,63,1
"St. Clair County Sheriffs Office",155,192,1
"Shelby County Sheriffs Office",503,544,1
"Tuscaloosa County Sheriffs Office",704,716,1
"Walker County Sheriffs Department",170,277,1
"Eufaula City Police Department",6,21,1
"Goodwater Police Department",2,2,1
"City of Adamsville Jail",1,23,1
"Hoover Police Department",50,72,1
"Coconino County Sheriffs Office",307,596,3
"Graham County Sheriffs Office",136,365,3
"Maricopa County Sheriffs Office",7344,8925,3
"Mohave County Sheriffs Office",428,708,3
"Pima County Sheriffs Department",1799,1398,3
"Pinal County Sheriffs Office",520,1029,3
"Yavapai County Sheriffs Office",527,644,3
"Baxter County Sheriffs Office",89,170,4
"Cleburne County Sheriffs Office",47,70,4
"Cleveland County Sheriffs Office",5,10,4
"Cross County Sheriffs Office",92,143,4
"Faulkner County Sheriffs Office",518,440,4
"Fulton County Sheriffs Office",26,30,4
"Garland County Sheriffs Office",350,495,4
"Sheridan Police Department",63,105,4
"Lawrence County Sheriffs Office",46,100,4
"Little River County Sheriffs Office",58,86,4
"Pope County Detention Center",188,172,4
"Washington County Sheriffs Office",787,568,4
"White County Sheriffs Office",344,418,4
"Pulaski County Sheriffs Office",1345,1210,4
"Alameda County Sheriffs Office",1689,3485,5
"Butte County Sheriffs Office",679,614,5
"Contra Costa County Sheriffs Office",1398,1831,5
